# {"t_start": 1548094951.3010783, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-22.042427,48,59.141457
-13.183496,50,59.190326
-13.60506,48,59.383811
-27.665508,56,59.440658
-37.479581,74,59.656103
-33.623521,85,59.883496
-14.093838,48,59.928376
-9.770662,52,60.150781
-27.835177,53,60.205636
-28.766345,50,60.387151
-26.351522,51,60.437018
-22.173603,49,60.624518
-29.290122,47,60.666406
-22.229697,51,60.873364
-42.821764,60,60.929214
-27.224459,53,61.112724
-17.092676,51,61.161101
-33.647965,52,61.344656
-6.176284,45,61.386545
-31.058054,50,61.575041
-30.693212,50,61.624325
-20.814985,53,61.808784
-18.748754,52,61.856665
-27.298598,50,62.05314
-13.005012,48,62.096027
-20.531724,50,62.281535
-23.704326,51,62.327414
-22.931827,49,62.539029
-36.46774,52,62.59488
-20.633732,47,62.799335
-28.109855,53,62.849202
-14.731091,50,63.032711
-51.071909,76,63.242153
-31.105576,50,63.287034
-9.652447,57,63.476528
-11.861966,48,63.522406
-19.31236,51,63.719878
-18.361766,48,63.764269
-21.020335,76,63.974218
-34.102342,48,64.017113
-31.205564,53,64.22665
-41.424298,49,64.275522
-13.424397,53,64.46802
-16.020929,46,64.510758
-16.313848,48,64.730211
-19.740694,48,64.786242
-24.848528,49,65.046056
-30.131183,46,65.090936
-47.427439,72,65.369194
-41.003545,53,65.656937
-19.243719,50,65.736789
-25.093726,37,65.781133
-10.211796,50,65.999076
-7.770253,46,66.041962
-42.855185,51,66.240432
-30.380422,47,66.303264
-9.613996,50,66.505724
-24.30486,47,66.561575
-4.793563,51,66.767027
-30.20202,50,66.816892
-26.972469,48,67.008382
-21.821649,52,67.060243
-33.475237,53,67.266692
-11.278197,50,67.317556
-20.836023,54,67.518039
-19.080423,46,67.564423
-20.773045,48,67.761897
-36.538669,50,67.811763
-13.733127,50,68.001257
-18.878765,44,68.044175
-24.965473,50,68.234635
-22.566904,54,68.289488
-19.978945,55,68.505915
-4.941762,53,68.561766
-10.41818,67,68.831245
-36.375882,51,69.113491
-7.181479,87,69.293013
-19.922602,47,69.59577
-25.984635,50,69.673563
-15.757534,48,69.93686
-38.849713,52,69.999695
-13.134614,55,70.218436
-32.217276,55,70.439399
-13.68572,62,70.503204
-26.87467,55,70.751051
-35.694924,50,70.797927
-32.87149,69,71.001982
-24.999756,51,71.049858
-22.763172,46,71.247357
-24.59687,48,71.293234
-26.122293,53,71.478799
-25.223703,50,71.528677
-28.466345,51,71.72217
-28.135077,46,71.763062
-30.903251,47,71.951563
-36.134795,49,71.996439
-38.966195,55,72.190886
-22.07067,52,72.239623
-23.134324,52,72.426948
-27.235693,50,72.471916
-6.06261,55,72.661416
-23.278486,48,72.709326
-11.816837,52,72.893864
-23.872327,49,72.937749
-22.245282,49,73.113281
-46.713093,72,73.312748
-34.275467,59,73.367602
-29.578807,47,73.549117
-30.180865,47,73.592004
-28.49547,50,73.77888
-39.338467,69,73.840714
-22.854449,50,74.025227
-24.053847,65,74.085069
-6.862733,50,74.268732
-23.860325,59,74.460257
-35.149876,49,74.506098
-14.959976,51,74.691606
-18.7217,48,74.736486
-28.303385,52,74.920015
-20.753452,50,74.962901
-17.748294,53,75.137455
-15.690308,48,75.183325
-11.673529,57,75.430077
-30.168421,52,75.476971
-19.457421,49,75.656362
-27.640793,49,75.701242
-15.459863,47,75.878078
-5.692859,50,75.921961
-6.316198,57,76.107971
-27.018176,53,76.155843
-26.065201,47,76.343765
-10.336976,51,76.392634
-27.286805,44,76.571815
-28.833502,47,76.613906
-29.932581,52,76.806956
-16.450944,59,76.863998
-28.940958,52,77.040754
-35.288608,53,77.088625
-26.255775,52,77.272157
-35.693811,55,77.323021
-33.848836,51,77.509541
-33.937654,58,77.563397
-11.605305,53,77.751857
-38.880322,49,77.796737
-12.708468,50,77.977255
-29.58343,52,78.02413
-16.895757,51,78.220634
-3.943229,48,78.264517
-30.050211,58,78.453199
-0.296773,29,78.481124
-29.717367,51,78.668576
-23.84764,50,78.713457
-16.905628,50,78.893467
-40.688495,62,78.950315
-28.630689,52,79.134828
-11.128863,51,79.335293
-23.618951,47,79.378179
-15.710003,46,79.422385
-13.75899,53,79.615218
-23.55771,53,79.66309
-33.611238,48,79.845617
-5.800259,59,80.076022
-5.920543,52,80.123893
-13.633246,51,80.312402
-18.884786,55,80.361269
-10.956019,47,80.543014
-16.283032,51,80.589889
-38.852076,55,80.777903
-14.440863,48,80.821784
-32.955561,52,81.002297
-26.82789,50,81.048174
-23.826643,48,81.2277
-16.416679,48,81.271595
-20.100882,50,81.461099
-25.665293,51,81.507844
-13.841298,43,81.687383
-33.001932,54,81.739396
-28.684907,56,81.932894
-34.366681,46,81.974782
-15.303745,48,82.180233
-18.853087,53,82.232096
-11.876285,53,82.423645
-34.989941,49,82.472515
-11.005554,51,82.659523
-26.534471,50,82.706399
-24.846267,48,82.887914
-26.875409,54,82.936785
-29.228801,50,83.106331
-34.534297,47,83.151211
-26.175093,49,83.341703
-31.660505,46,83.382593
-29.78525,49,83.566103
-28.820549,49,83.608989
-22.957514,45,83.792476
-19.441328,47,83.838355
-28.417963,55,84.026863
-13.797328,46,84.069736
-19.850869,45,84.111626
-25.628618,50,84.290216
-7.915399,51,84.336527
-27.603307,47,84.532018
-33.88637,50,84.578893
-40.912531,50,19948.942963
-33.86275,47,19948.986846
-6.417233,46,19949.192743
-32.754247,44,19949.23164
-26.309219,54,19949.412607
-24.084468,48,19949.453474
-34.348894,48,19949.620665
-22.458755,46,19949.66277
-20.599031,48,19949.83485
-5.875015,48,19949.874849
-12.553476,58,19950.043498
-35.774593,52,19950.090637
-11.645525,55,19950.28602
-13.585397,40,19950.326901
-13.480675,51,19950.500862
-33.442759,53,19950.548735
-30.347762,48,19950.731838
-30.761114,44,19950.771729
-21.261173,43,19950.951757
-8.378237,47,19950.99496
-6.854864,49,19951.185987
-27.649185,42,19951.225881
-22.025872,47,19951.41477
-32.680553,51,19951.46364
-9.309638,48,19951.642834
-29.076993,51,19951.691918
-20.392656,49,19951.874771
-13.454687,51,19951.919652
-18.492358,48,19952.107796
-15.272558,44,19952.14998
-28.791916,50,19952.193969
-22.477308,53,19952.378012
-4.937038,49,19952.421895
-25.573035,42,19952.609849
-29.75471,51,19952.65901
-21.662194,54,19952.853948
-36.685638,50,19952.897847
-16.448081,48,19953.085197
-30.220752,51,19953.133353
