# {"t_start": 1548185559.6131876, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-975.704268,1551,4.757904
-364.502105,1373,8.542017
-201.763717,1120,11.255359
-1318.798707,1954,15.896394
-77.762028,132,16.311262
-349.176956,675,17.926508
-562.849552,919,19.935968
-369.998834,1125,22.281153
-163.19407,380,23.113902
-78.087675,105,23.329885
-165.357009,211,23.768715
-251.75401,436,24.642146
-125.99374,279,25.269992
-306.684968,586,26.587345
-1204.295412,1810,30.595144
-221.893149,320,31.322148
-100.464641,280,32.011668
-151.608736,303,32.715533
-355.095454,652,34.359102
-867.111617,1260,37.181628
-101.441604,219,37.643902
-747.749012,1352,40.820141
-329.694781,826,42.659742
-458.052248,641,44.270004
-250.080666,542,45.450972
-125.175501,453,46.582954
-286.940641,752,48.270658
-44.474082,399,49.178325
-277.060232,733,50.78588
-226.704875,331,51.630774
-955.296801,3032,58.714441
-1670.153667,3292,66.139932
-48.659474,57,66.195783
-1771.125723,4433,75.742533
-150.314181,418,76.612288
-82.460602,349,77.313926
-861.947456,1536,80.694424
-386.958376,1936,84.956126
-688.468527,1060,87.450991
-1170.865271,2025,91.857045
-321.367466,482,93.020454
-165.636898,267,93.722602
-206.388437,339,94.456496
-797.910078,1806,98.451912
-652.648083,1174,100.990925
-135.240633,357,101.755623
-153.235543,304,102.40201
-374.041953,1009,104.682638
-2334.408227,3814,113.324769
-59.373699,152,113.571113
-617.442732,943,115.761213
-85.54744,388,116.479299
-129.057025,346,117.39284
-492.611217,581,118.736407
-232.594587,494,119.846048
-275.980895,747,121.428506
-268.240474,675,123.039867
-205.522834,399,124.019464
-257.545998,489,125.191324
-177.397838,329,125.949303
-36.280863,78,126.166283
-110.914537,190,126.626177
-174.917281,865,128.599821
-3396.080578,5059,140.590975
-736.510113,2389,146.160664
-315.454059,825,148.080521
-661.520467,1096,150.628187
-34.330277,292,151.303854
-143.841938,274,152.061348
-393.749847,633,153.491048
-548.319181,951,155.705353
-126.548813,157,155.970624
-207.279964,430,156.94172
-745.073809,2550,162.54993
-223.188288,499,163.603693
-635.688751,822,165.429259
-597.088614,860,167.358414
-95.002778,915,169.331723
-139.952974,299,170.067559
-521.18636,1585,173.459868
-296.765645,476,174.494516
-77.972311,150,174.876498
-565.034452,2486,180.401092
-628.78835,879,182.318181
-3114.874591,7269,198.429928
-132.589049,210,198.89469
-255.394285,633,200.492581
-322.69652,1190,203.475596
-1226.657639,1795,207.98019
-115.290666,200,208.466933
-351.686946,717,210.079178
-188.728806,265,210.619736
-3117.588594,5636,224.373099
-285.501639,508,225.683897
-277.645276,775,227.601053
-254.722826,1195,230.596998
-628.224927,1088,233.04519
-234.493339,2858,240.129755
-29.745781,312,240.881695
-1129.401903,1939,245.675897
-349.868206,2459,251.566993
-120.922049,182,252.01341
-143.105494,308,252.750104
-71.597648,271,253.407568
-671.83036,1852,257.864487
-338.487511,1554,261.840057
-303.340072,567,263.199427
-202.868962,674,264.974507
-1942.535268,4246,275.410805
-615.997793,941,277.937804
-55.004837,244,278.441272
-48.803193,231,279.16349
-686.303187,5063,291.788259
-391.35027,1493,295.346358
-139.555034,260,295.99064
-6.967881,212,296.482554
-156.327244,215,296.963777
-151.208191,613,298.351442
-158.177161,197,298.827174
-90.746874,169,299.404037
-998.917723,3111,306.990772
-115.255614,341,307.858982
-97.216243,416,308.798671
-416.31297,830,310.886562
-269.975191,659,312.530687
-153.527319,984,314.913338
-202.378736,492,316.056747
-714.745766,1243,319.199614
-65.045288,200,319.693297
-286.706389,978,321.952595
-309.427032,436,322.924335
-71.557299,112,323.156598
-252.427238,582,324.765171
-134.59502,317,325.473288
-95.009517,207,325.960889
-414.140518,1287,329.182057
-201.811393,364,330.090709
-255.900458,454,331.098731
-462.076686,705,332.772753
-151.549236,340,333.842913
-107.200823,288,334.349563
-960.208192,2655,340.456733
-144.35429,250,341.028023
-158.912105,689,342.39167
-255.914903,547,343.839568
-177.582054,1777,347.907185
-237.619889,382,348.640675
-658.107308,2147,353.636152
-261.692367,438,354.542056
-699.110381,1259,357.558792
-430.70503,710,359.12221
-623.901999,3339,366.706754
-588.917062,1079,369.060904
-149.203375,344,370.063627
-557.906415,835,371.903988
-283.123197,453,372.927712
-125.704529,233,373.405455
-76.944026,240,373.93381
-3049.734804,4391,384.263794
-515.944163,1983,388.879872
-398.109868,641,390.218823
-568.034864,1686,394.135557
-585.514876,1235,397.026742
-4757.419705,7225,413.880935
-257.724712,647,415.245675
-236.664214,328,416.07006
-620.657155,1060,418.677824
-524.520044,1260,422.04851
-618.692345,1153,424.771137
-320.277707,628,426.60381
-135.87119,864,428.581102
-102.573606,172,429.035917
-329.54753,769,430.841472
-216.466974,493,432.253325
-20.471695,132,432.53945
-538.959468,1407,435.836105
-276.834822,2272,441.597182
-120.267484,260,442.124775
-117.384201,303,442.844167
-427.832275,834,444.886371
-765.875916,1585,448.960613
-145.344679,234,449.463285
-2293.644168,4074,459.132383
-70.19166,303,459.798107
-350.780084,984,462.109937
-2194.928777,4300,472.038421
-232.554407,331,472.841599
-264.859762,742,474.63114
-403.823715,1247,477.433417
-190.605814,365,478.137375
-124.601069,233,478.721543
-463.070933,1013,481.154515
-654.34839,938,483.10934
-48.38377,135,483.734975
-42.768165,109,483.96536
-1021.109743,1440,487.020559
-562.963128,1091,489.704939
-11.092489,354,490.396996
-540.84746,752,492.079284
-40.81818,217,492.526111
-264.942089,460,493.854617
-709.66499,2430,499.658582
-167.710997,242,500.131635
-593.207253,780,501.872811
-408.663559,737,503.885772
-226.215454,500,504.971756
-22.764508,102,505.200667
-205.995215,327,505.868102
-365.710952,751,507.726117
-132.635251,247,508.33317
-1.434265,78,508.531162
-975.244459,1280,511.247908
-838.066215,1321,514.625976
-109.249853,337,515.316595
-735.296364,1387,518.71656
-661.475464,1053,520.923213
-51.469934,97,521.50893
-90.677613,446,522.630686
-120.460034,228,523.141314
-366.621036,690,524.734765
-588.010299,893,527.16506
-121.924918,285,527.853272
-55.270905,242,528.336671
-113.130893,643,529.914341
-21.490464,192,530.380095
-649.198832,1064,533.15303
-1199.141676,2809,540.020659
-183.646449,551,541.73061
-70.521686,253,542.238257
-274.976163,555,543.591326
-218.062855,545,544.794418
-357.468322,799,547.006222
-3718.117081,6778,563.299381
-183.936743,275,563.93391
-316.692226,802,566.026442
-1091.955733,3016,572.982802
-337.905103,552,574.235333
-457.945802,769,576.167892
-436.441237,2216,581.286631
-429.522843,1785,585.544129
-123.795911,328,586.370408
-577.356989,749,587.931499
-138.402781,323,588.595726
-909.644254,1676,592.612844
-1427.538833,5146,605.027436
-213.89346,296,605.679689
-364.869147,553,606.852476
-80.406262,167,607.259428
-171.048111,369,608.324021
-135.005353,411,609.370247
-217.536845,458,610.283589
-672.093932,3847,619.542392
-671.335132,1132,621.978698
-763.53353,2682,628.613112
-171.576914,557,629.759569
-30.16687,318,630.420361
-303.131998,652,632.257535
-207.946084,720,633.81055
-1217.759434,1840,638.238298
-464.183601,1010,640.421518
-348.7631,712,642.280905
-354.82095,612,643.578853
