# {"t_start": 1548185559.6131876, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-2066.188556,3764,652.606076
-51.11903,106,652.834467
-799.268562,1212,655.772175
-368.730596,667,657.152333
-402.986591,531,658.417748
-3747.627016,10000,682.278934
-531.456761,830,684.420321
-233.231597,391,685.28497
-749.495893,1222,687.916196
-1295.891182,3465,696.435677
-78.568411,310,697.091572
-451.842521,630,698.982343
-1056.037025,2627,705.11329
-270.227497,365,705.963025
-148.708222,471,707.02565
-643.875198,2071,712.048981
-319.865643,2304,717.821544
-1390.6501,3470,725.750206
-225.125674,361,726.606975
-660.903545,853,728.81082
-314.384092,609,730.134849
-621.152473,3876,739.699479
-115.63178,193,740.128336
-309.567945,587,741.444054
-483.056879,917,744.001304
-1250.599824,2266,749.453067
-145.105881,330,750.122273
-775.675985,3406,758.310261
-257.552896,499,759.38895
-455.701203,1069,762.161683
-51.689191,420,763.072802
-1322.491605,3247,771.071531
-191.522478,314,771.723429
-2404.543186,4056,781.534842
-851.868581,1843,786.111227
-1339.416118,5688,799.836536
-222.331195,665,801.223878
-1447.794107,3293,808.931014
-759.314544,1285,812.249264
-111.99303,363,813.091493
-1060.510189,1901,817.713578
-1638.778576,2982,824.990929
-1664.179192,2663,831.333101
-505.982299,676,832.827729
-662.625899,1643,836.817873
-631.715288,1297,840.13117
-331.167676,623,841.586519
-565.678191,995,844.103783
-311.225243,618,845.54087
-1238.912035,2503,851.517537
-279.564269,971,854.201126
-11.465273,334,855.032136
-2675.840745,6442,870.393496
-48.617094,72,870.584986
-109.604911,447,871.503485
-915.69678,2141,876.801768
-78.261525,151,877.536405
-87.177439,280,878.184184
-153.63868,397,879.058055
-1451.154363,2808,885.654649
-481.907289,3335,893.801152
-95.287581,268,894.430475
-172.736264,435,895.316252
-1121.291343,2090,900.415055
-319.348046,628,902.493027
-561.746548,1005,904.810218
-792.458452,1032,907.643508
-2145.560991,2832,914.698661
-585.747835,858,917.25325
-540.759504,759,919.084309
-292.147213,576,920.340355
-583.559341,997,923.163088
-437.896959,906,925.305506
-1088.74087,3663,934.841822
-741.363935,1196,938.046881
-1341.554941,2560,944.191355
-92.808865,317,944.866555
-2143.249039,4110,954.867867
-375.186188,991,957.56772
-983.608176,2725,964.015175
-397.715333,578,965.310723
-187.207819,334,966.000853
-665.503269,2119,971.176317
-497.278899,813,973.504715
-132.217492,303,974.165952
-3517.608677,6571,990.177047
-1176.738923,2396,996.004046
-321.124612,580,997.895469
-0.819399,67,998.086452
-420.366253,736,999.646847
-283.665365,1712,1004.099121
-79.963653,279,1004.739303
-735.883229,2967,1012.443567
-258.719203,413,1013.442667
-1497.727772,5601,1027.369984
-2665.031221,3475,1035.458937
-3634.251198,6029,1050.340348
-355.000763,1301,1053.72377
-1524.928084,3960,1063.390721
-181.277608,379,1064.256386
-66.269782,194,1064.704193
-134.521474,212,1065.143785
-917.012708,1728,1069.420572
-744.717164,2577,1076.196305
-394.638657,1373,1079.263435
-95.553139,703,1081.385168
-582.511822,2345,1087.083978
-734.453026,1244,1089.903508
-513.927544,819,1092.277493
-101.102384,463,1093.366725
-233.966015,503,1094.471791
-314.522134,844,1096.849293
-297.557656,724,1098.414517
-410.609326,1130,1101.56925
-121.261173,162,1101.851498
-204.69338,621,1103.163011
-351.372944,882,1105.100974
-157.763896,287,1106.336859
-694.168078,1179,1109.038408
-433.527445,3637,1118.21421
-65.213599,304,1118.90201
-101.98231,183,1119.309923
-544.847033,853,1121.818711
-261.058643,613,1123.145335
-545.591882,888,1125.068879
-232.063527,325,1126.378999
-390.564578,1119,1128.762444
-392.54075,615,1130.11123
-225.612824,816,1132.502548
-152.290605,589,1133.822952
-830.575808,1808,1138.429521
-150.197328,726,1140.118668
-362.075469,527,1141.882165
-4071.191653,9092,1164.164771
-480.157719,962,1166.96766
-821.952874,1335,1169.843257
-1046.375477,2905,1177.372628
1,1,1177.374595
-120.442746,205,1177.822432
-279.239133,1049,1180.055687
-1273.823042,2944,1187.823648
-452.191765,861,1189.759392
-380.017661,3731,1199.202709
-325.744368,588,1201.137255
-364.744848,689,1202.709714
-421.065415,862,1204.513497
-28.256281,181,1204.931526
-360.338372,509,1206.665424
-357.056451,704,1208.220995
-445.880831,646,1209.676809
-557.092568,830,1212.116976
-109.386401,199,1212.566101
-538.424422,1911,1217.433343
-302.985163,625,1218.780145
-182.536678,401,1219.654243
-131.208182,294,1220.323153
-625.299441,1497,1224.28101
-936.079175,4011,1234.295149
-109.791569,284,1234.946401
-141.472569,181,1235.366056
-265.730568,1184,1238.617124
-838.078566,1383,1242.301892
-98.599909,210,1242.744915
-320.778899,501,1243.853508
-187.107105,366,1244.565255
-104.134024,227,1245.155424
-347.115294,615,1247.135772
-2150.105886,3386,1255.229978
-355.261961,920,1257.935651
-1121.07504,3848,1267.593142
-197.727933,486,1268.683872
-195.25523,272,1269.314357
-408.29565,513,1270.425267
-247.502068,598,1272.447428
-773.418336,1117,1274.842664
-2294.487354,7238,1293.382849
-895.479845,1298,1296.912479
-695.377199,1480,1300.092322
-459.610528,1335,1303.818124
-645.396573,1793,1308.566443
-466.169358,1029,1310.719105
-3763.638646,6369,1327.432381
-248.96824,454,1328.344342
-188.983729,640,1329.807707
-1301.206248,2447,1335.858737
-135.521068,204,1336.299301
-1377.273003,2384,1342.904564
-508.568045,678,1344.411916
-141.07315,1553,1348.418794
-87.139522,236,1349.014652
-101.614041,394,1349.880347
-211.697249,340,1350.561654
-563.948507,1522,1354.576072
-360.047795,649,1356.059268
-1929.353011,4940,1368.902391
-2020.615222,4749,1380.710169
-140.737165,496,1381.790289
-674.391544,1946,1386.694292
-1685.588895,2845,1394.319197
-172.253885,879,1396.245554
-99.552371,303,1396.895372
-735.29137,1060,1399.989628
-34.863081,192,1400.436437
-183.825139,350,1401.135369
-1379.238789,2002,1406.192206
-1935.332499,3297,1414.821876
-267.344327,487,1415.880996
-2119.055577,3152,1424.32787
-393.865295,981,1426.382891
-652.126617,2360,1432.276597
-124.030201,526,1434.168469
-360.191563,865,1436.123101
-780.65294,1981,1441.238893
-648.549126,1406,1445.049189
-188.485596,246,1445.522656
-144.049704,335,1446.358341
-379.093218,857,1448.212494
-1330.503014,2131,1454.573069
-190.181751,346,1455.267741
-1251.123571,2166,1460.872372
-454.789876,1095,1463.232454
-1453.124594,2681,1470.514796
-4468.492389,6923,1488.019616
-22.059926,307,1488.678234
-504.92352,1079,1491.741675
-266.007565,387,1492.593852
-42.029526,81,1492.792323
-536.487037,1059,1495.905135
-30.605741,59,1495.956997
-508.573662,884,1497.879842
-975.157591,1723,1502.379274
-103.914076,201,1502.81512
-662.403532,1131,1506.116984
-52.557459,150,1506.383273
-125.05802,655,1507.882129
-54.400128,253,1508.364198
-157.284498,242,1508.972138
-430.730878,594,1511.035387
-42.227058,338,1511.750507
-420.811479,1059,1514.106433
-175.529763,653,1516.248707
-162.099956,388,1517.12137
-1250.787679,2305,1523.255053
-76.267131,197,1523.700865
-161.232706,1019,1526.060061
-1544.00066,5557,1541.422516
-76.506801,167,1541.886284
-391.120161,1587,1546.242546
-1507.673036,3294,1555.419119
-525.851055,1866,1560.561487
-604.297768,1121,1563.192991
-382.597829,802,1565.875306
-227.26433,314,1566.584417
-492.449841,1374,1570.64766
-131.40391,204,1571.127803
-56.432682,137,1571.395088
-898.986361,2218,1577.449205
-358.502051,591,1578.839122
-48.592506,505,1580.02497
-1373.145611,3712,1590.011698
-235.688259,426,1590.901968
0.514877,24,1590.935477
-288.441287,762,1593.516128
-134.404299,244,1593.993855
-646.967951,1877,1598.932734
-175.615157,295,1599.573035
-82.721964,312,1600.235953
-75.984509,282,1600.880235
-652.307269,2079,1606.310772
-411.925507,922,1609.140532
-715.161594,1846,1614.008514
-57.530524,270,1614.630855
-784.329636,1085,1616.999447
-83.557723,229,1618.318185
-117.153225,418,1619.302722
-679.340353,1130,1622.075748
-147.245687,635,1624.337109
-69.263587,111,1624.58345
-220.88813,634,1626.187855
-118.016104,358,1626.940395
-108.905361,445,1628.093395
-1625.908579,2149,1633.883832
-96.462464,272,1635.504523
-785.079313,1438,1638.838031
-396.852114,445,1640.855979
-1397.64697,5980,1657.128649
-140.5697,252,1657.815399
-647.723788,2679,1665.079567
-95.652618,312,1665.798655
-432.850405,1684,1670.67556
-250.799919,2331,1676.940432
-195.645005,652,1679.662452
-23.102075,56,1679.719301
-234.836674,274,1680.487212
-250.38916,747,1682.460497
-1233.552453,1763,1688.349261
-392.810193,581,1689.756688
-872.395758,1581,1694.266681
-782.809879,1748,1699.180798
-352.195699,936,1701.524021
-621.047166,1556,1706.354652
-116.538506,442,1707.378282
-612.19699,917,1710.577339
-82.307844,202,1711.025085
-115.682932,218,1711.484952
-496.631362,973,1713.667845
-327.856563,499,1715.777453
-18.191891,531,1717.144177
-612.962966,938,1719.244648
-239.315113,993,1722.428986
-518.641286,862,1724.512931
-168.684409,445,1726.430984
-79.04885,320,1727.195536
-2056.132032,5633,1743.428165
-736.1663,2464,1750.090211
-576.640054,2260,1756.282178
-60.633659,377,1757.185995
-252.666358,377,1757.975899
-80.377534,253,1758.611729
-1103.076229,2295,1765.769709
-474.540079,869,1767.89671
-231.916502,880,1769.969789
-194.434828,499,1772.027979
-97.401529,311,1772.902157
-209.59056,708,1774.559689
-2572.592808,10000,1803.103814
-69.696237,178,1803.420998
-148.041491,459,1805.544089
-1399.07974,2241,1811.692914
-96.477217,231,1812.365876
-225.373468,472,1813.407799
-523.366076,1146,1817.076698
-566.595781,860,1819.042948
-823.655049,1338,1823.290997
-776.275631,1519,1826.884139
-979.556547,2450,1835.176718
-186.372623,554,1836.472896
-277.753458,548,1837.920257
-223.328103,319,1838.726208
-78.647629,432,1840.774523
-240.128048,563,1842.288409
-1679.886362,8205,1866.02821
-863.629017,1803,1871.22801
-118.675297,314,1871.936121
-3066.763334,4694,1885.028925
-1138.092645,1913,1890.741002
-173.559847,811,1893.713589
-677.052297,1470,1898.357591
-105.171256,986,1900.701703
-1289.238389,1837,1906.005162
-199.870289,398,1906.965621
-82.945669,156,1907.429024
-637.986764,2507,1914.275756
-157.243405,197,1915.752628
-1646.124493,2642,1923.517991
-606.526824,1218,1926.53499
-208.234736,1374,1931.061378
-47.559821,130,1931.354104
-2030.338136,4831,1946.501797
-1273.185978,3006,1954.856236
-147.613362,298,1955.568388
-140.412365,249,1956.051102
-2031.214747,4257,1969.479678
-191.788843,257,1970.006275
-450.526049,738,1971.847003
-1716.985564,2546,1978.823019
-620.635874,769,1981.654735
-459.012918,797,1983.60287
-422.417302,1161,1987.513541
-818.82134,2258,1993.996134
-29.147791,70,1994.235007
-286.145044,483,1995.264764
-30.337852,207,1995.916027
-510.954542,855,1998.870246
-627.199788,3228,2007.581697
-448.101942,626,2010.193411
-396.106907,1481,2013.548072
-181.989199,2346,2020.022621
-1157.221015,2047,2025.768384
-134.814597,1014,2029.344813
-1246.606476,1845,2034.84534
-55.093468,351,2035.6232
-263.215682,958,2038.932936
-994.2342,1677,2043.018017
-2229.779356,5243,2058.455432
-525.668659,850,2060.551716
-0.286582,58,2060.608565
-5062.096942,10000,2089.241365
-2251.018094,7537,2112.003591
-149.246057,180,2112.287864
-70.020111,130,2112.712897
-62.719455,168,2113.015621
-45.979624,129,2114.560016
-853.332262,1478,2118.086219
-20.600273,98,2118.335195
-230.040661,368,2120.247785
-23.752595,102,2120.522045
-155.813378,291,2121.221739
-4701.104091,10000,2150.474
-894.386069,1633,2155.33461
-348.274689,560,2156.660267
-246.970573,464,2157.807061
-111.70988,181,2158.260037
-960.767469,1706,2163.309329
-153.130337,664,2164.79774
-2362.57297,3853,2176.132798
-169.419461,438,2177.108171
-54.57456,192,2178.646726
-432.045468,3040,2186.948895
-502.630081,1046,2190.657911
-147.194145,323,2191.366532
-147.451184,982,2193.760493
-105.465214,811,2196.818952
-1985.572745,3083,2205.596104
-1212.124252,1637,2210.741955
-41.363576,148,2211.178792
-214.867806,548,2212.455902
-799.764171,1223,2216.967197
-97.591599,217,2217.64419
-437.735983,597,2219.113929
-247.249866,647,2221.802928
-51.143861,206,2222.352467
-179.327146,486,2223.592177
-92.061006,166,2224.041984
-241.03787,287,2224.721081
-145.380132,244,2225.237145
-1327.115529,1870,2231.044887
-1709.489706,3014,2240.674909
-267.12291,383,2241.665849
-307.563025,1253,2245.758862
-116.854082,759,2247.677878
-447.041621,1086,2251.372999
-1358.335704,2137,2257.536309
-136.13706,1459,2261.099293
-938.533139,1387,2265.361493
-291.357634,590,2266.776748
-738.497385,1537,2271.605795
-1158.92213,1648,2276.584829
-621.189616,1724,2281.819042
-1994.238076,3444,2292.349318
-1312.289049,4050,2304.298922
-183.632748,485,2305.416022
-28.74264,380,2306.326565
-955.80009,3259,2316.507917
-44.745314,231,2317.02159
-322.704529,470,2318.168136
-1996.888103,3767,2329.078647
-581.701263,1164,2331.729616
-85.130551,466,2334.040185
-424.160053,961,2336.19311
-237.698865,961,2339.62025
-705.431451,1741,2344.726729
-180.706029,716,2346.459701
-513.930485,876,2348.509646
-722.055477,1290,2352.691808
-66.738969,293,2353.409052
-1463.417121,10000,2382.480767
-123.239284,287,2383.124486
-111.342976,306,2383.837389
-337.054592,551,2386.246793
-54.828873,450,2387.415738
-130.173311,204,2387.904871
-450.686288,742,2389.504153
-215.688918,863,2392.75553
-20.68354,214,2393.209732
-786.55925,4220,2405.426952
-536.225302,1089,2409.192447
-766.315228,1613,2412.840282
-84.507591,112,2413.074638
-1530.21069,4969,2428.284394
-556.103905,2884,2436.378695
-1322.86399,6735,2456.981611
-1160.031859,2061,2462.762845
-36.110177,179,2463.186378
-872.146391,1257,2465.898123
-91.729239,201,2467.560359
-119.731281,302,2468.264111
-4698.440408,10000,2497.587407
-1318.355246,4607,2510.750522
-393.494255,1216,2515.05085
-1458.359575,4984,2528.847194
-1020.485971,1914,2534.576253
-587.801125,1392,2538.349174
-480.907101,2634,2544.98938
-58.033059,255,2545.419201
-2261.050236,6401,2562.65666
-488.159087,1037,2566.176716
-1002.408443,1621,2570.929956
-97.889145,158,2571.318506
-18.477764,241,2571.776315
-231.986668,391,2572.618672
-280.198397,550,2573.716728
-128.756526,383,2575.814606
-617.298247,1553,2579.193557
-240.390029,338,2581.117318
-85.341562,581,2582.435308
-84.44447,154,2582.708604
-100.251642,134,2583.098537
-531.607497,1770,2588.135002
