obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.060598955937205407,-25.56751251220703,3.7508881092071533,0.5115722417831421,0.7909716367721558,-25.38445281982422,3.6809070110321045,0.31588461995124817,0.8557474613189697,-15.055453300476074,0.3217169940471649,0.7872537970542908,723.9666666666667,30.0,-368.6490783691406,-368.6490783691406,51.26547312736511,30.0,11,22000,429.1387294006377,25.484121322631836,0.6051057577133179,0.6493362784385681
0.0,0.9999999403953552,0.04966353924655011,-26.97724723815918,3.4708046913146973,0.38330432772636414,0.8472215533256531,-26.80565643310547,3.4237098693847656,0.31588461995124817,0.8557474613189697,-15.710302352905273,0.3159911036491394,0.7891444563865662,723.9666666666667,30.0,-368.6490783691406,-368.6490783691406,55.925325870513916,30.0,12,24000,429.1436773308775,26.449472427368164,0.7675293684005737,0.5579873919487
0.0,0.9999999403953552,0.040701478966889394,-28.396747589111328,3.4621999263763428,0.5110311508178711,0.8029899597167969,-28.20861053466797,3.406233549118042,0.9100745916366577,0.338368684053421,-16.700212478637695,0.3392593264579773,0.7854960560798645,798.4193548387096,31.0,-387.5732421875,-387.5732421875,60.545480728149414,31.0,13,26000,429.42924372407896,27.384660720825195,1.3796265125274658,0.5871214270591736
0.0,0.9999999403953552,0.034027141129503384,-28.88431167602539,3.5678930282592773,0.3035942316055298,0.8815124034881592,-28.741403579711914,3.5375852584838867,0.9100745916366577,0.338368684053421,-17.42797088623047,0.37935665249824524,0.7775941491127014,798.4193548387096,31.0,-387.5732421875,-387.5732421875,65.00368475914001,31.0,14,28000,430.744812447928,28.362014770507812,1.226803183555603,0.46688663959503174
0.0,0.9999999403953552,0.027886755354071244,-30.126062393188477,3.6732935905456543,0.39277613162994385,0.8383481502532959,-29.988689422607422,3.698265314102173,0.3730829954147339,0.830118715763092,-18.286516189575195,0.35836488008499146,0.79132080078125,851.5151515151515,33.0,-416.16912841796875,-416.16912841796875,69.28536319732666,33.0,15,30000,432.991884801977,29.486534118652344,0.6938095092773438,0.5955377817153931
0.0,0.9999999403953552,0.023313810312614227,-31.338106155395508,3.758258581161499,0.4528161287307739,0.8240952491760254,-31.186071395874023,3.7819907665252686,0.3730829954147339,0.830118715763092,-18.94553565979004,0.3738843500614166,0.7856819033622742,851.5151515151515,33.0,-416.16912841796875,-416.16912841796875,73.56678533554077,33.0,16,32000,434.9789086752512,30.201583862304688,1.3952109813690186,0.3575247526168823
0.0,0.9999999403953552,0.019882513137642284,-31.273588180541992,4.107256889343262,0.5629745721817017,0.7676590085029602,-31.104591369628906,4.104793548583984,0.018506810069084167,0.8988310694694519,-19.583171844482422,0.3783408999443054,0.7871112823486328,925.0,36.0,-437.15228271484375,-437.15228271484375,77.85705852508545,36.0,17,34000,436.6977207216895,30.69305419921875,1.6400146484375,0.26243382692337036
0.0,0.9999999403953552,0.017644720880324885,-32.75249481201172,4.339775085449219,0.6643868684768677,0.6802810430526733,-32.634395599365234,4.334036827087402,0.598175048828125,0.732191801071167,-20.242774963378906,0.39191561937332153,0.7825342416763306,941.5135135135135,37.0,-448.63323974609375,-448.63323974609375,82.19484806060791,37.0,18,36000,437.9836552949733,31.54827880859375,1.1678229570388794,0.43697452545166016
0.0,0.9999999403953552,0.015047793132436803,-33.224647521972656,4.270298004150391,0.3109304904937744,0.8873603343963623,-33.14447021484375,4.320321559906006,0.45234233140945435,0.8127572536468506,-20.664295196533203,0.3851359188556671,0.7886394262313843,970.0512820512821,39.0,-453.20147705078125,-453.20147705078125,86.78772354125977,39.0,19,38000,437.84994523948325,31.717424392700195,1.0605762004852295,0.21503779292106628
0.0,0.9999999403953552,0.01335415235733134,-34.17234802246094,4.226368427276611,0.652360200881958,0.7177085280418396,-33.970458984375,4.221698760986328,0.4353359341621399,0.8385339975357056,-21.284568786621094,0.37229737639427185,0.7960435152053833,996.425,40.0,-471.14306640625,-471.14306640625,91.17708921432495,40.0,20,40000,438.7067008245263,32.583351135253906,1.5033758878707886,0.36149168014526367
