# {"t_start": 1548189974.4402926, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-20.022174,38,42.595536
-54.418234,128,42.95099
-89.26294,151,43.213291
-31.584406,93,43.429133
-5.311544,35,43.463043
-40.727968,105,43.803136
-31.160377,66,43.859015
-92.060014,160,44.249945
-14.717322,34,44.281886
-24.738971,88,44.4958
-31.372127,47,44.537724
-17.023376,34,44.688323
-25.933169,37,44.722233
-46.869769,112,44.980988
-17.313921,33,45.134578
-20.568501,40,45.172477
-16.966033,50,45.34303
-3.641044,49,45.387902
-122.808258,415,46.333625
-74.625404,101,46.544784
-66.000676,105,46.75622
-13.392869,32,46.908813
-22.539173,40,46.943719
-15.599825,50,46.987603
-21.611479,54,47.171113
-41.108395,60,47.35504
-26.397978,36,47.387952
-48.401109,102,47.605608
-13.614498,38,47.643506
-5.219116,41,47.82602
-25.517705,56,47.87492
-21.038742,39,48.044468
-32.277681,53,48.095333
-43.304039,64,48.298791
-15.982318,38,48.3327
-20.412643,34,48.499255
-15.775381,46,48.543139
-31.619238,45,48.585027
-18.671734,37,48.74859
-29.35597,66,48.943442
-219.904606,283,49.526211
-19.400907,41,49.760963
-22.918718,51,49.812826
-26.398774,76,50.003341
-48.435266,70,50.180844
-32.934715,69,50.238689
-24.835038,50,50.409186
-12.096081,36,50.442099
-19.203318,34,50.620402
-29.909049,43,50.663289
-26.677949,39,50.697197
-89.76552,139,51.06409
-28.933815,54,51.112961
-47.94475,77,51.3234
-37.304534,75,51.503943
-37.501034,61,51.675461
-13.403447,35,51.705379
-20.361043,34,51.7353
-24.783385,100,51.936763
-12.840992,46,52.094799
-103.467312,208,52.544747
-81.972718,147,52.785106
-17.398112,48,52.947672
-14.412134,35,52.97859
-12.952023,47,53.137166
-11.865966,46,53.176064
-31.093588,49,53.217959
-146.864297,195,53.633356
-64.028057,104,53.887599
-11.64548,35,54.042695
-36.812756,70,54.10453
-18.380573,33,54.260115
-21.989114,43,54.298014
-26.061506,36,54.458591
-36.983334,114,54.682987
-9.736956,35,54.714902
-25.966858,44,54.884862
-17.974599,37,54.918398
-23.949374,47,54.962267
-25.404133,35,55.115657
-37.69494,61,55.167519
-7.76321,43,55.332119
-11.093467,31,55.362014
-17.86513,40,55.399913
-15.918767,40,55.56547
-27.345602,44,55.60337
-23.573251,39,55.765936
-15.411354,40,55.800842
-24.43274,32,55.829789
-24.579171,34,55.98934
-12.898714,70,56.04918
-19.119093,38,56.207757
-8.92933,38,56.240699
-24.028131,31,56.394719
-49.883256,81,56.4675
-17.089855,46,56.631817
-20.161328,38,56.663754
-34.618576,52,56.836779
-27.970449,51,56.88166
-17.875423,36,57.045223
-22.106354,43,57.083122
-8.599099,34,57.11404
-2.921823,36,57.272617
-35.268481,70,57.334451
-22.518793,51,57.507019
-104.230407,164,57.942341
-23.921895,36,57.974256
-8.254262,42,58.013151
-25.363539,55,58.240288
-38.484892,88,58.467103
-15.216305,38,58.503018
-33.241129,88,58.712106
-24.620701,36,58.747013
-20.183877,36,58.938504
-17.08698,35,58.96942
-14.532477,38,59.00234
-14.759022,29,59.156921
-16.517752,45,59.199806
-19.814724,33,59.348433
-20.422007,31,59.374364
-25.058284,38,59.407276
-15.794608,38,59.568821
-12.114403,40,59.607719
-24.952148,38,59.643622
-10.764494,34,59.795433
-46.410926,57,59.851285
-18.911566,34,60.011887
-12.752395,37,60.044798
-13.30489,40,60.081021
-12.764938,60,60.259046
-93.156541,163,60.667957
-21.449342,36,60.699894
-10.343002,39,60.735788
-18.946196,38,60.898342
-9.293389,35,60.934245
-25.520346,40,61.107866
-21.176299,33,61.138784
-9.364684,34,61.171696
-15.974766,36,61.33097
-11.992823,55,61.379839
-22.485861,34,61.409788
-15.671456,109,61.779541
-6.371969,37,61.812449
-32.721956,53,61.861291
-17.900066,30,62.020866
-26.92397,43,62.059762
-13.995711,44,62.229313
-15.467123,41,62.266211
-24.378629,33,62.30012
-27.717196,49,62.47765
-8.671975,35,62.510617
-21.329727,42,62.710748
-11.627933,36,62.744657
-10.2147,32,62.77358
-15.306172,41,62.937241
-16.131192,37,62.968186
-14.515834,40,63.003089
-30.275403,56,63.179594
-23.104223,38,63.216496
-12.32061,35,63.422946
-11.944034,48,63.464834
-17.23398,43,63.64236
-24.839754,38,63.680259
-18.307238,33,63.714168
-11.123946,30,63.892694
-18.27872,39,63.929087
-16.336892,37,63.962998
-27.40565,40,64.130136
-25.131989,45,64.172053
-21.295608,36,64.329632
-20.469943,38,64.36252
-10.609169,36,64.394436
-19.984152,35,64.55418
-18.094907,44,64.597063
-24.332574,42,64.761138
-36.811442,54,64.808041
-28.771903,49,64.974569
-37.711363,56,65.031418
-11.656707,31,65.183013
-18.569868,36,65.213951
-16.259429,44,65.251857
-11.110866,35,65.417419
-14.841904,36,65.449308
-21.508548,35,65.481253
-16.112238,36,65.6398
-25.29509,37,65.672711
-22.75041,40,65.71061
-20.350763,40,65.879049
-46.710768,66,66.061562
-23.901425,50,66.104447
-49.484557,90,66.308903
-22.619237,44,66.350791
-23.355675,34,66.509367
-12.664056,41,66.546269
-19.988334,36,66.709833
-20.947571,31,66.736302
-41.434506,105,66.955228
-23.339084,55,67.009086
-25.687947,37,67.203886
-15.209582,33,67.234313
-18.044202,36,67.268221
-11.823164,32,67.426799
-26.108027,38,67.462704
-23.179004,37,67.623275
-30.644165,42,67.662171
-27.138533,38,67.696081
-18.136205,49,67.856653
-24.484679,43,67.897548
-31.457615,40,68.058114
-24.758586,40,68.095016
-31.128202,38,68.129945
-16.649858,31,68.287506
-15.798613,34,68.317456
-23.91283,36,68.350339
-10.346691,38,68.503929
-18.965912,40,68.540216
-12.331371,32,68.692266
-22.136036,36,68.724154
-21.802788,38,68.759061
-27.851145,38,68.920661
0.874438,7,68.927611
-18.59585,34,68.959527
-5.320499,31,68.990444
-34.454408,43,69.155005
-19.251937,41,69.192905
-26.595905,43,69.359459
-15.195858,43,69.39938
-21.409222,38,69.433263
-24.225385,51,69.603256
-29.580441,48,69.644145
-7.625179,37,69.800332
-22.150125,39,69.836236
-4.567873,43,70.003789
-21.125473,43,70.040109
-20.387251,35,70.071028
-21.197827,38,70.227609
-21.9791,42,70.265509
-9.980624,44,70.430069
-27.676666,40,70.466995
-14.93921,40,70.503872
-19.330471,36,70.664443
-21.369976,71,70.859923
-11.579684,34,70.889843
-17.883251,45,70.929736
-27.878177,39,71.096293
-20.075002,37,71.129204
-27.566405,49,71.299481
-14.493361,30,71.32541
-39.225816,62,71.560154
-19.187199,41,71.597082
-26.211586,35,71.629994
-8.999139,29,71.783558
-29.095815,41,71.819462
-15.725538,37,71.851377
-14.772539,33,72.010952
-15.845979,34,72.042881
-23.136047,38,72.076777
-18.417305,38,72.247322
-24.715049,33,72.277251
-16.319389,31,72.305166
-11.875606,32,72.447786
-19.568815,43,72.485685
-5.029542,42,72.650276
-19.287151,36,72.682194
-16.858306,40,72.724049
-21.618806,39,72.892937
-16.198359,33,72.924832
-9.044654,42,72.961726
-28.531142,35,73.130276
-7.05395,46,73.172191
-30.780171,44,73.338721
-27.538094,37,73.369662
-13.702629,51,73.543175
-16.461633,30,73.572124
-46.152595,69,73.754122
-14.208273,32,73.782047
-14.1866,40,73.816954
-20.129827,55,74.013193
-24.395272,56,74.068048
-32.141258,42,74.231018
-24.714663,32,74.260914
-29.802058,50,74.438947
-17.042586,32,74.466874
-18.701065,47,74.509759
-20.89337,38,74.675317
-25.967206,34,74.70424
-7.619505,37,74.870796
-23.951956,42,74.908694
-23.594595,35,74.939638
-25.335761,40,75.108162
-13.382068,43,75.147059
-16.647324,37,75.301138
-6.246263,34,75.330062
0.831346,8,75.339037
-26.636652,32,75.366988
-15.901616,32,75.522038
-22.25023,36,75.55792
-20.739325,32,75.590314
-25.023064,38,75.747885
-16.698817,51,75.792743
-18.060507,36,75.999192
-22.898925,42,76.036094
-12.562425,36,76.070004
-7.226864,39,76.231572
-13.10467,30,76.2585
-33.289766,74,76.451985
-2.029665,36,76.485895
-13.444523,35,76.520801
-22.71454,29,76.672397
-23.881877,35,76.705309
-22.080662,34,76.734255
-4.976359,33,76.891319
-17.644665,48,76.935228
-16.853355,38,77.101758
-17.044783,32,77.133686
-15.574036,31,77.161599
-14.630494,45,77.324192
-21.345511,41,77.359071
-27.071371,41,77.394977
-3.373349,39,77.567547
-10.060394,39,77.601426
-22.828477,38,77.747037
-24.851077,41,77.783938
-6.233753,37,77.816851
-17.3583,49,77.989391
-18.470055,33,78.018313
-9.228199,33,78.175894
-22.08559,37,78.211416
-27.238143,39,78.25131
-18.885894,42,78.414163
-21.792,47,78.459044
-17.323513,37,78.635599
-16.098074,43,78.677471
-31.037927,46,78.721344
-37.048717,52,78.895878
-15.706928,35,78.927805
-30.60612,41,79.092355
-21.069249,37,79.126276
-14.88829,36,79.291822
-25.432149,31,79.319352
-16.829811,43,79.357228
-26.865454,36,79.526516
-15.010901,39,79.561427
-27.299179,38,79.593361
-18.97187,39,79.755316
-8.707378,33,79.784215
-17.459635,37,79.818126
-17.245206,31,79.979694
-38.757558,48,80.02258
-21.023195,35,80.18319
-10.163385,39,80.218059
-22.276131,39,80.252966
-30.700945,45,80.474376
-24.361783,40,80.509283
-6.665014,36,80.678122
-7.398083,40,80.714026
-19.443501,34,80.74594
-15.180501,43,80.910529
-14.31533,39,80.945435
-18.940138,42,81.112737
-23.80679,32,81.143189
-17.057766,72,81.331714
-19.529089,32,81.362602
-20.836439,32,81.392546
-13.864826,42,81.55509
-10.191002,36,81.587004
-21.418426,33,81.615927
-10.630778,43,81.779491
-23.754119,43,81.817413
-25.020053,40,81.980953
-17.845965,37,82.013866
-20.443211,33,82.042359
-6.648169,33,82.200908
-9.704712,37,82.234818
-22.772693,36,82.266733
-22.282611,45,82.432012
-29.635207,43,82.471906
-18.862288,41,82.640988
-4.536872,35,82.671883
-19.83788,44,82.71078
-4.317896,41,82.881324
-36.308156,48,82.924236
-14.196911,42,83.086776
-19.90029,35,83.116719
-11.242164,38,83.281257
-12.601646,31,83.312175
-22.188093,36,83.344089
-20.755496,37,83.504139
-20.11931,30,83.530105
-22.109395,53,83.575948
-12.956504,42,83.743526
-19.775834,36,83.776439
-14.022367,34,83.807361
-28.598259,38,83.978403
-24.541912,39,84.013309
-25.899029,36,84.17089
-29.880804,50,84.215769
-18.03856,40,84.380331
-19.570753,40,84.416235
-20.724097,39,84.454133
-16.959484,33,84.636647
-11.762747,31,84.66358
-22.92078,37,84.696514
-15.092246,31,84.890969
-24.745727,39,84.925876
-24.537339,49,85.115831
-28.288122,36,85.148747
-23.247348,35,85.179664
-7.867925,33,85.332789
-21.071187,33,85.362878
-23.398607,37,85.396786
-15.692589,36,85.566893
-14.739473,36,85.601774
-25.645898,40,85.636679
-22.11721,66,85.838967
-7.888312,38,85.875195
-20.456814,38,86.034981
-14.860791,33,86.067372
-8.569957,36,86.100257
-23.129008,38,86.346294
-12.141376,52,86.401655
-16.511385,36,86.57619
-6.992688,35,86.6101
-10.823342,36,86.647001
-26.125246,39,86.827519
-23.481147,39,86.865418
-2.908127,35,87.039954
-8.172972,43,87.081841
-27.650262,38,87.119741
-16.833816,37,87.295277
-18.641303,39,87.333177
-18.090104,38,87.514733
-25.746946,46,87.561134
-7.394498,58,87.753772
-17.735087,42,87.794662
-9.623286,50,87.840541
-12.974226,61,88.031032
-24.269834,36,88.063945
-31.685665,43,88.247456
-18.946601,43,88.29034
-22.199962,35,88.461883
-19.087387,43,88.503805
-25.741155,44,88.68184
-6.161673,34,88.714727
-7.013507,63,88.935138
-8.258396,41,88.979936
-23.900793,38,89.018834
-24.744922,37,89.198454
-22.245285,41,89.240354
-17.917107,46,89.422857
-18.507721,37,89.462268
-4.482326,34,89.498173
-13.924359,34,89.730713
-22.047835,37,89.769117
-16.553876,34,89.805021
-28.20228,46,89.994515
-24.527032,59,90.051364
-25.530474,36,90.225899
-13.316608,34,90.259809
-28.440611,42,90.302694
-14.284586,34,90.477228
-12.740052,40,90.517122
-27.444822,44,90.721057
-7.342848,35,90.76494
-26.569082,34,90.799847
-17.555336,38,90.973926
-28.146906,33,91.005842
-6.658163,36,91.04374
-12.327007,37,91.234016
-8.792969,40,91.272924
-26.907526,44,91.452434
-15.264532,31,91.484349
-27.555899,39,91.52125
-14.962188,37,91.700772
-9.84008,35,91.73867
-14.298605,32,91.774574
-19.252272,37,91.957088
-17.247504,31,91.988007
-22.397504,34,92.022913
-22.523929,43,92.215371
-16.616988,34,92.250278
-30.580272,43,92.435783
-24.621714,50,92.485469
-16.785277,34,92.518382
-17.277172,37,92.69383
-4.307802,40,92.739707
-16.543172,40,92.946157
-24.773024,42,92.987048
-15.335431,47,93.033923
-22.296336,39,93.201477
-25.936174,39,93.235398
-15.3392,37,93.396982
-21.05803,52,93.444829
-18.784349,43,93.620359
-23.400668,34,93.657261
-22.174479,44,93.697155
-8.256232,40,93.870691
-28.811166,38,93.907272
-17.375543,34,93.942179
-10.543839,36,94.112413
-13.205417,37,94.148314
-6.791628,38,94.339804
-13.05122,49,94.385682
-28.180374,42,94.622099
-25.624415,41,94.659949
-28.082671,38,94.695855
-24.603772,45,94.861418
-3.608928,37,94.893858
-21.198123,36,94.925802
-30.949797,44,95.091358
-29.374562,48,95.134217
-29.012317,52,95.30875
-20.73888,41,95.348644
-7.686727,36,95.505187
-30.234317,40,95.541067
-25.571836,56,95.713607
-17.097895,34,95.74253
-30.810492,55,95.922051
-19.698029,34,95.951002
-14.325851,58,95.999871
-26.331897,39,96.159419
-26.20237,55,96.20731
-15.138587,42,96.376839
-28.413836,42,96.415173
-25.538538,40,96.576714
-24.25744,45,96.616606
0.792285,9,96.625616
-25.547901,38,96.783189
-21.354432,43,96.822062
-25.842233,44,96.860958
-13.021995,38,97.025519
-6.442992,40,97.063418
-23.219482,47,97.233963
-14.777889,43,97.272859
-4.113959,64,97.461357
-23.217816,43,97.499257
-11.82089,38,97.661822
-9.421462,49,97.704739
-14.358857,37,97.738175
-18.957211,33,97.895748
-18.668022,35,97.92647
-24.524374,37,97.960356
-21.48151,49,98.134889
-6.294192,33,98.163813
-20.423758,44,98.328758
-23.311401,38,98.362668
-21.87886,42,98.526232
-3.710413,42,98.564157
-6.379815,31,98.592056
-18.967447,39,98.754646
-22.544664,41,98.790527
-10.60023,35,98.824463
-22.108971,39,99.04385
-3.883739,35,99.078757
-27.354176,45,99.250391
-19.564266,35,99.281308
-21.847331,35,99.317213
-21.407121,39,99.48579
0.035784,26,99.510697
-27.201186,44,99.550256
-24.611848,38,99.713466
-9.878536,38,99.7474
-18.859019,38,99.906489
-24.745165,36,99.937406
-28.156804,55,99.983283
-21.245088,48,100.155847
-13.614402,37,100.189734
-6.989214,40,100.35431
-8.838626,36,100.385212
-5.459579,36,100.416152
-20.151389,45,100.582711
-18.272814,39,100.620584
-19.726736,33,100.778671
-35.999091,45,100.818567
-16.326987,36,100.853478
-20.820139,41,101.015041
-24.096385,39,101.048554
-13.494251,39,101.211133
-15.142392,35,101.242038
-27.109929,37,101.273953
-10.180757,44,101.440509
-30.907635,41,101.477438
-19.179258,32,101.506363
-21.592632,36,101.668901
-22.77871,50,101.717772
-7.025281,36,101.870362
-19.379127,41,101.906294
-22.083608,41,102.067836
-18.999924,35,102.101771
-16.970281,42,102.140259
0.841185,8,102.148237
-15.822195,38,102.30589
-14.604724,38,102.342793
-24.461056,43,102.506815
-30.620685,45,102.546722
-20.031718,39,102.581615
-15.473053,34,102.740192
-22.644083,41,102.777095
-17.715798,38,102.938664
-14.416742,43,102.97559
-13.654989,42,103.011468
-25.226344,48,103.183012
-9.076299,38,103.216921
-16.91148,38,103.444339
-20.496377,36,103.484207
-18.881522,31,103.513158
-4.439822,36,103.669739
-29.009478,37,103.704649
-26.188826,41,103.742518
-20.798803,38,103.910122
-13.6631,35,103.940015
-29.273622,39,104.10161
-13.708937,38,104.136492
-12.925203,36,104.16741
-3.58517,39,104.327982
-2.861793,38,104.364912
-22.959579,43,104.403779
-18.615348,41,104.570335
-9.789691,37,104.604244
-19.296434,42,104.767346
-15.554466,41,104.804248
-20.197668,35,104.834169
-7.854788,38,104.998228
-8.807721,35,105.028158
-23.338681,36,105.186957
-13.721681,33,105.216877
-29.38225,42,105.253788
-13.647433,36,105.414852
-15.47408,40,105.451753
-17.414767,31,105.480675
-17.300492,41,105.657211
-3.757536,34,105.690117
-21.854572,46,105.854701
-23.941639,36,105.885596
-25.130958,43,105.925489
-6.380626,41,106.088055
-9.220413,33,106.117975
-17.265653,45,106.285587
-19.220075,38,106.319497
-2.894097,39,106.354404
-22.745028,46,106.519963
-18.506692,35,106.549882
-11.577008,37,106.583792
-33.466167,41,106.748353
-10.683211,39,106.782263
-15.848647,35,106.942861
-24.238897,38,106.977741
-25.016473,45,107.017635
-23.65786,34,107.176212
-17.312643,32,107.205134
-10.823407,35,107.238047
-23.796167,42,107.400981
-18.816655,33,107.430901
-21.37097,30,107.584492
-10.916396,40,107.618401
-10.056916,32,107.646326
-20.944984,35,107.866883
-28.403874,43,107.906776
-18.856226,44,107.946697
-20.443728,38,108.107267
-19.766108,35,108.13816
-13.583856,34,108.298731
-29.887503,39,108.33264
-22.867894,41,108.367548
-6.117911,31,108.523132
-18.267553,37,108.555047
-13.543564,50,108.732058
-25.409344,37,108.766978
-13.343244,35,108.800052
-17.690355,38,108.95965
-10.559064,38,108.992562
-4.943492,34,109.024478
-21.133531,35,109.184705
-26.202866,50,109.230014
-9.243347,34,109.389691
-8.598236,43,109.430583
-13.963767,30,109.458535
-17.23881,33,109.621101
-13.624134,48,109.663959
-11.323218,33,109.694878
-11.561809,33,109.850462
-7.954268,29,109.87739
-25.470057,45,109.918281
-29.326549,45,110.083841
-28.244478,44,110.12473
-7.927547,38,110.292747
-19.534652,38,110.326221
-24.323051,38,110.362098
-9.782008,40,110.519171
-21.055619,78,110.749083
-10.971675,35,110.786982
-10.448554,48,110.954665
-23.576294,32,110.984573
-16.948494,37,111.017995
-19.684697,36,111.172086
-7.114718,34,111.204002
-19.574779,37,111.237911
-12.3768,39,111.395491
-21.990303,47,111.452338
-20.306077,39,111.624878
-8.752721,50,111.6678
-8.76224,38,111.702672
-27.979068,37,111.854295
-18.003847,44,111.893177
-24.30146,39,112.050254
-11.085113,39,112.083191
-17.018225,39,112.117568
-7.963376,32,112.378871
-15.251331,46,112.417982
-15.220782,66,112.600005
-8.523781,37,112.631946
-23.079331,39,112.791494
-12.856583,37,112.824407
-33.445925,59,113.007918
-31.318367,78,113.074739
-18.554422,46,113.2393
-17.414671,40,113.276201
-16.693435,37,113.43722
-15.514888,41,113.474106
-16.173019,35,113.506021
-18.929982,46,113.671579
-25.822739,46,113.712503
-15.649561,33,113.877428
-16.816113,37,113.912336
-20.179761,38,113.946716
-16.982063,39,114.11524
-13.897297,32,114.145161
-15.229015,35,114.177085
-22.832155,31,114.339668
-12.831962,40,114.374547
-7.944001,41,114.41447
-14.919031,32,114.566037
-4.380602,44,114.605931
-23.82811,38,114.767919
-22.394145,40,114.801816
-27.48079,37,114.832741
-15.097091,35,114.998737
-6.794896,38,115.032095
-9.099021,42,115.199649
-14.560557,38,115.23655
-13.183368,36,115.268464
-13.919395,35,115.427067
-17.343366,45,115.465966
-13.757491,29,115.492866
-21.067239,36,115.653462
-17.092352,45,115.693355
-14.703383,36,115.850911
-18.731547,37,115.882849
-16.301722,37,115.918731
-7.328567,41,116.080835
-17.725798,38,116.115743
-27.432541,41,116.153623
-14.271411,34,116.321171
-27.225375,35,116.353156
-5.425637,38,116.511733
-32.334918,44,116.55063
-9.350087,42,116.588529
-11.624374,36,116.815922
-22.190781,32,116.84587
-26.748099,35,116.882744
-18.117812,32,117.044313
-20.250157,43,117.085204
-25.155984,38,117.264731
-9.021489,36,117.299652
-27.831306,46,117.341527
-15.171417,46,117.511284
-18.413281,35,117.542202
-11.262223,39,117.701122
-18.128232,30,117.728037
-5.14665,37,117.759952
-22.510125,37,117.920523
-8.139745,33,117.950444
-29.414312,38,117.98536
-17.909007,33,118.142931
-17.766515,33,118.173849
-25.505212,40,118.210776
-29.728172,43,118.377306
-23.810323,41,118.412212
-7.970811,35,118.572263
-9.008411,36,118.605153
-24.056025,38,118.638092
-11.910355,33,118.80163
-13.466057,41,118.837562
-21.156235,36,118.870798
-23.930068,34,119.031852
-16.96371,35,119.062769
-22.141184,33,119.090718
-11.656952,36,119.255255
-32.071269,39,119.291161
-9.71377,33,119.448739
-11.818841,38,119.482677
-13.316901,37,119.517581
-4.58557,37,119.679125
-18.519561,39,119.714032
-8.683904,39,119.747942
-14.130681,33,119.902759
-21.03098,33,119.931683
-14.928132,33,119.9626
-11.32594,41,120.122572
-18.10133,33,120.151488
-6.78472,37,120.310785
-7.938215,33,120.339707
-23.270039,41,120.377614
-23.294777,40,120.540521
-33.70827,42,120.577451
-30.012301,39,120.614323
-21.830574,40,120.784869
-19.585302,37,120.819776
-10.879366,36,120.982347
-20.176796,33,121.01329
-19.236392,36,121.046172
-7.454749,39,121.284537
-27.29868,39,121.320441
-5.367988,40,121.35834
-21.201311,42,121.525403
-20.159821,36,121.556321
-11.612839,44,121.726971
-20.455079,37,121.760857
-25.199095,37,121.794299
-14.35896,31,121.955846
-6.578913,37,121.989746
-27.253593,41,122.158297
-20.931187,35,122.190238
-7.85051,31,122.219135
-29.891779,48,122.392672
-5.22591,44,122.43456
-17.522141,35,122.466475
-21.145351,33,122.621806
-13.322557,37,122.653712
-18.345834,36,122.811292
-24.989309,36,122.842209
-13.35052,36,122.873142
-19.381519,45,123.037695
-16.115493,33,123.066619
-20.704616,34,123.096538
-22.254475,40,123.259107
-25.28729,35,123.291046
0.429434,18,123.307974
-24.598357,40,123.469543
-19.157603,31,123.497485
-20.201203,48,123.541353
-10.820531,38,123.699944
-7.992478,37,123.735835
-20.332288,41,123.897459
-5.195521,37,123.930347
-21.315623,44,123.967249
-33.039988,39,124.129815
-12.836984,38,124.16173
-21.179365,37,124.318851
-21.612834,40,124.355739
-9.830226,34,124.384677
-17.721521,30,124.540246
-19.813621,34,124.571176
-26.43987,44,124.609091
-26.178096,44,124.777613
-14.354801,46,124.818505
-12.746841,35,124.974113
-23.875124,47,125.021961
-29.495187,40,125.202481
-27.170933,38,125.24038
-19.785965,40,125.276284
-8.151898,34,125.436511
-18.177077,39,125.471418
-10.170895,44,125.510314
-23.504896,35,125.736919
-17.306027,35,125.768834
-4.338158,36,125.935418
-21.14604,52,125.983261
-13.093675,49,126.152836
-20.672808,34,126.183753
-21.873814,38,126.21766
-31.27801,44,126.381202
-15.442382,33,126.413114
-21.074547,26,126.435056
-22.430723,37,126.593112
-11.499485,37,126.626051
-26.607057,45,126.666942
-18.443702,39,126.83048
-13.241623,37,126.864413
-20.204674,33,127.025251
-12.538907,31,127.05218
-22.800208,43,127.089081
-17.829481,31,127.245687
-44.42039,60,127.298523
-24.652637,37,127.465079
-9.171875,38,127.497991
-21.380115,43,127.535889
-25.026321,40,127.69547
-19.759437,38,127.730397
-22.425097,40,127.891964
-26.47234,39,127.927855
-23.773139,36,127.958786
-19.264773,33,128.119344
-13.387379,36,128.151266
-4.341809,42,128.18718
-7.471874,31,128.343893
-6.299436,37,128.376814
-39.319,51,128.558322
-24.354417,34,128.588242
-16.426511,35,128.618161
-5.901028,47,128.787735
-25.018377,38,128.821649
-29.159149,36,128.982192
-10.068001,35,129.012112
-11.898026,36,129.044025
-22.928274,40,129.210582
-6.889028,38,129.244026
-22.839923,38,129.276938
-19.656077,33,129.430037
-27.028106,40,129.468945
-13.481487,50,129.64192
-32.50528,43,129.683808
-10.078231,36,129.71575
-22.856904,46,129.895184
-26.378699,43,129.935078
-8.567586,42,130.186136
-28.482525,40,130.222016
-13.754064,34,130.256921
-7.043041,40,130.420489
-17.894094,39,130.457387
-7.781197,41,130.621948
-23.541548,37,130.655858
-30.4151,38,130.690765
-7.204388,45,130.868297
-18.90512,29,130.894222
-15.551358,37,131.070239
-7.132393,34,131.105147
-5.828987,35,131.138058
-29.907496,44,131.304712
-21.377642,37,131.338625
-31.385806,46,131.502792
-14.763077,41,131.537698
-22.753499,31,131.564136
-21.384503,34,131.726701
-29.191952,49,131.773577
-10.89124,36,131.805519
-36.837278,67,131.994987
-16.286931,35,132.031902
-25.359304,40,132.202433
-25.602909,41,132.240332
-22.975782,36,132.401906
-21.268645,37,132.435842
-22.0464,37,132.472716
-29.565764,40,132.643262
-13.260381,32,132.673187
-23.489636,33,132.705097
-34.232247,58,132.886922
-18.330074,35,132.919838
-11.143326,37,133.076895
-13.096826,34,133.107814
-20.256212,37,133.141724
-20.528353,46,133.312269
-13.643831,33,133.341192
-10.886622,36,133.501764
-28.139998,45,133.540659
-34.847,44,133.577562
-25.633357,31,133.731151
-17.065164,40,133.767056
-24.804838,39,133.942587
-22.813636,38,133.976524
-12.242098,39,134.0124
-19.804933,37,134.170979
-19.441462,34,134.200921
-13.318061,41,134.235805
-3.880793,43,134.402621
-17.561999,42,134.441517
-23.853461,47,134.690853
-18.76914,37,134.731742
-15.486811,37,134.76665
-16.901576,35,134.929215
-9.869062,38,134.963125
-11.53539,34,135.123698
-13.794051,33,135.153618
-22.04515,40,135.189988
-11.34523,30,135.348698
-7.903396,37,135.380046
-28.115346,40,135.413954
-35.097147,57,135.594478
-8.274341,33,135.6234
-23.963298,44,135.79056
-20.958298,37,135.822475
-3.396987,43,135.987135
-15.653469,47,136.032017
-4.649496,54,136.245447
-26.207017,35,136.27836
-9.981487,40,136.316267
-5.695591,38,136.482813
-13.201479,35,136.514728
-21.566469,33,136.542654
-23.961634,46,136.710207
-15.622001,31,136.740128
-8.243899,42,136.898704
-15.088158,38,136.932613
