# {"t_start": 1548189974.4402926, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-8.315698,48,1.024199
-32.982805,96,1.320821
-113.705764,390,2.13662
-34.840919,129,2.381835
-57.81488,105,2.605231
-20.486658,40,2.758849
-153.84142,1037,4.941173
-412.652642,1095,7.262599
-550.456516,1043,9.489048
-29.707586,41,9.684044
-422.069027,2091,14.609316
-32.533604,43,14.650183
-18.145434,37,14.683096
-105.02215,153,15.077297
-46.091855,87,15.301693
-357.995848,872,17.274355
-4.860676,45,17.315246
-18.233799,34,17.345196
-28.082404,39,17.497793
-29.352992,44,17.544665
-12.221841,39,17.711383
-159.433351,290,18.218059
-85.999899,102,18.432467
-112.115345,224,19.023572
-24.726262,34,19.05494
-109.148702,195,19.476815
-592.047857,932,21.429886
-80.792394,182,21.836823
-26.495312,51,22.011991
-83.720887,239,22.474757
-46.142986,65,22.65328
-678.008785,935,24.638086
-267.021931,309,25.303296
-25.242438,40,25.463869
-2.883272,35,25.494786
-76.374364,102,25.714207
-24.433955,167,26.114139
-188.927731,491,27.205632
-16.213738,43,27.243559
-75.948603,170,27.666592
-450.035196,757,29.216692
-204.192532,698,30.707144
-252.999624,507,31.820847
-25.066986,62,32.006834
-72.677762,108,32.232101
-18.459599,55,32.411623
-45.206492,357,33.115745
-36.125659,109,33.34018
-599.924634,881,35.363187
-27.730452,47,35.407071
-253.300071,313,36.22589
-22.940806,37,36.259819
-34.927117,76,36.452337
-10.389938,50,36.495636
-44.222419,96,36.714052
-18.238727,48,36.87662
-54.615587,70,36.941446
-290.250284,766,38.645438
-26.580884,104,38.867359
-28.12905,103,39.116034
-75.391086,109,39.358989
-95.556394,329,40.039484
-41.941622,86,40.238952
-28.201246,48,40.396043
-96.370005,184,40.827814
-26.621865,43,40.865713
-0.064351,29,40.891643
-13.334722,42,41.049223
-14.77544,264,41.529969
-25.705275,101,41.740888
-52.186075,126,42.10282
-46.524657,73,42.16665
-15.99569,37,42.326224
-19.903502,35,42.359136
-52.418117,87,42.561624
